DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ010,2021,97946,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ020,2021,119520,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ031,2021,49250,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ032,2021,44155,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ041,2021,20900,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ042,2021,62320,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ051,2021,34788,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ052,2021,41464,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ053,2021,40244,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ063,2021,38503,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ064,2021,93998,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ071,2021,48000,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ072,2021,42489,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y_LT15,CZ080,2021,88063,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ010,2021,613316,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ020,2021,678250,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ031,2021,314988,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ032,2021,285530,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ041,2021,140871,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ042,2021,396341,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ051,2021,215962,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ052,2021,268571,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ053,2021,255233,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ063,2021,250788,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ064,2021,580588,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ071,2021,306607,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ072,2021,282182,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,TOTAL,CZ080,2021,581675,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y15-64,CZ010,2021,406258,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y15-64,CZ020,2021,441743,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y15-64,CZ031,2021,205193,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y15-64,CZ032,2021,187180,b
